D1,D2,D3,D4,D5,D6,D7,D8,Class
21.996307,119.300545,42,-0.129873,-0.461116,2.354662,0.739296,0.475639,1
18.002651,111.988098,38,-0.192031,-0.003431,0.010324,0.772352,0.479507,1
26.00259,196.702667,56,0.012251,-0.149585,0.937021,0.546386,0.348632,1
22.004517,119.300545,42,-0.103873,-0.357562,1.760567,0.720476,0.462141,1
23.003124,169.373093,50,-0.161954,-0.516773,2.444123,0.743189,0.451499,1
10.001482,45.800003,20,-0.001307,-0.005326,0.02518,0.625161,0.397128,1
20.003008,104.804337,38,-0.155427,-0.316281,1.652655,0.767007,0.502759,1
15.002267,81.028572,30,-0.175913,-0.267525,1.026331,0.742105,0.461606,1
17.003408,101.3881,36,-0.21738,-0.009711,0.03988,0.795678,0.503703,1
29.999311,239.983139,64,-0.062927,-0.130794,0.258319,0.630174,0.377212,1
30.007343,239.983124,64,-0.002348,-0.325625,1.241003,0.567052,0.360075,1
18.9981,121.1635,40,-0.0322,0.009,0.0359,0.6124,0.3749,1
14.9977,81.9032,30,-0.1714,-0.1335,0.651,0.7598,0.4742,1
21.9979,119.3005,42,-0.127,-0.5358,2.8575,0.7391,0.4764,1
19.0016,120.6358,40,-0.1787,-0.026,0.1003,0.7667,0.4747,1
19.0026,119.5089,40,-0.1932,-0.1592,0.6696,0.7618,0.4757,1
25.002,188.2852,54,-0.1011,-0.3725,1.4051,0.6863,0.4094,1
13.9972,73.9,28,-0.1615,-0.2245,0.9495,0.7551,0.4742,1
21.0006,139.8182,44,0.0267,-0.0266,0.1323,0.4875,0.3249,1
12.0022,58.3381,24,-0.1867,0.0068,0.0372,0.7715,0.4883,1
21.0038,148.8,46,-0.0158,-0.0819,0.3297,0.6072,0.3735,1
21.9956,145.3671,46,-0.2726,0,0,0.8275,0.5376,1
24.9969,184.3878,54,-0.1152,-0.144,0.9552,0.7061,0.4304,1
15.9979,95.4357,34,-0.1049,-0.1142,0.5107,0.7225,0.4539,1
22.0049,152.5957,48,-0.2554,-0.0002,0.0003,0.8061,0.5105,1
19.0038,121.1635,40,-0.0313,0.0264,0.1037,0.5996,0.3715,1
16.9959,103.5579,36,-0.2209,-0.0052,0.0353,0.7724,0.4788,1
25.0073,188.2852,54,-0.0276,-0.2141,0.7169,0.5857,0.3615,1
19.0005,120.6446,40,-0.2034,-0.0342,0.1396,0.7651,0.4763,1
12.9994,67.5667,26,0.0128,-0.0084,0.1339,0.5406,0.3396,1
17.9988,112.7191,38,-0.0803,0.0251,0.0645,0.668,0.405,1
18.0033,113.8309,38,-0.1446,-0.0206,0.1239,0.7413,0.4608,1
19.002,123.2762,40,-0.0645,0.017,0.0414,0.6436,0.3812,1
10.002,45.8,20,-0.004,-0.0073,0.0347,0.6286,0.3987,1
19.0023,116.4012,40,-0.2662,-0.034,0.1769,0.8088,0.5183,1
24.9993,188.2852,54,-0.0464,-0.2413,0.6497,0.6123,0.3712,1
19.9994,130.7595,42,-0.0887,-0.0048,0.0189,0.7005,0.4309,1
17.9969,110.4016,38,-0.1592,-0.0782,0.306,0.7531,0.4713,1
18.001,110.4016,38,-0.1643,-0.0752,0.2954,0.7554,0.4729,1
22.0047,149.2167,46,-0.0541,0.0075,0.0414,0.6406,0.3955,1
20.9987,149.4714,46,-0.0061,-0.1643,0.8022,0.5531,0.3478,1
20.9963,142.913,46,-0.2512,-0.003,0.0135,0.8043,0.5094,1
18.0027,111.9881,38,-0.207,-0.0006,0.0021,0.7758,0.4806,1
25.0068,184.3878,54,-0.1052,-0.1313,0.6525,0.7002,0.4261,1
25.9926,195.5927,56,-0.126,-0.0642,0.4837,0.7193,0.4418,1
35.002251,291.711487,74,-0.059399,-0.001989,0.008828,0.640983,0.376504,2
51.00835,496.531738,106,-0.092846,-0.036752,0.11716,0.687986,0.409205,2
47.987919,469.752777,106,-0.061047,0.000005,0.000797,0.675923,0.408873,2
46.994061,433.69458,100,-0.072264,-0.001063,0.005799,0.681332,0.408497,2
30.991735,244.111542,66,-0.067771,-0.179482,0.754959,0.661258,0.394006,2
59.009369,576.290771,118,-0.163102,-0.167888,0.773824,0.739732,0.453918,2
48.981926,462.398895,104,-0.065094,-0.197664,0.961834,0.647102,0.387991,2
33.005386,252.075912,68,-0.114123,-0.224626,1.133047,0.721692,0.437289,2
42.005699,384.42514,92,-0.13868,-0.056042,0.323529,0.725828,0.431004,2
63.025597,675.784546,134,-0.190126,-0.002324,0.018053,0.762475,0.4649,2
40.999294,349.725311,84,-0.201789,-0.047584,0.166645,0.78275,0.48629,2
37.993641,331.137482,82,-0.100505,-0.006323,0.038131,0.692607,0.40874,2
48.986355,476.85437,106,-0.063554,-0.025406,0.064584,0.658095,0.393934,2
40.015846,369.143921,88,-0.024769,-0.000052,0.000075,0.589869,0.339982,2
40.006294,376.762573,88,-0.028853,-0.000723,0.001875,0.59211,0.340645,2
42.015957,399.018341,92,-0.04277,0.000082,0.000084,0.602926,0.346052,2
45.980476,436.200439,98,-0.081615,-0.004404,0.010918,0.694612,0.41876,2
44.997509,419.433289,98,-0.045016,0.000262,0.006351,0.64996,0.391499,2
45.990517,430.221771,94,-0.084316,-0.000052,0.003361,0.69573,0.414558,2
49.977581,498.277222,110,-0.050818,-0.000368,0.001852,0.658793,0.397906,2
50.007343,500.494629,110,-0.050342,0.000007,0.000314,0.660975,0.397199,2
40.989933,388.169342,90,-0.033293,-0.013752,0.057745,0.608711,0.356196,2
51.989788,528.593994,114,-0.050181,-0.000189,0.001036,0.659014,0.395579,2
52.013168,530.638123,114,-0.044553,-0.000182,0.000964,0.650158,0.390803,2
52.015873,530.104797,114,-0.050778,-0.000008,0.000035,0.662203,0.398514,2
54.014034,536.217651,114,-0.131443,-0.053384,0.21937,0.720425,0.433686,2
46.994884,450.390137,104,-0.058804,-0.000012,0.0006,0.674761,0.409552,2
55.97723,562.537109,118,-0.142934,-0.060878,0.253439,0.728838,0.439721,2
39.003159,338.550415,82,-0.069586,-0.000689,0.005279,0.680977,0.411917,2
55.9939,561.240906,118,-0.162477,-0.013197,0.059142,0.743544,0.445352,2
58.015995,590.939941,122,-0.144651,-0.000157,0.000479,0.73763,0.439964,2
41.991051,373.147583,86,-0.146331,-0.000924,0.008568,0.744701,0.451812,2
41.01675,360.532227,84,-0.049244,-0.000275,0.00208,0.652664,0.38614,2
40.995365,360.838043,88,-0.14762,-0.000461,0.001545,0.720137,0.421548,2
39.014606,342.556946,84,-0.133061,-0.033553,0.183828,0.714568,0.422425,2
48.015408,456.58313,106,-0.095465,-0.192202,0.744726,0.675578,0.405066,2
45.998219,450.06488,102,-0.044083,-0.004412,0.053675,0.648577,0.38753,2
51.007839,503.755432,110,-0.078732,-0.028378,0.086027,0.685053,0.414574,2
58.008533,590.939941,122,-0.150382,-0.000063,0.000129,0.740694,0.440715,2
51.000004,478.95401,108,-0.175846,-0.059593,0.27452,0.742174,0.448909,2
47.018047,441.185028,102,-0.154417,-0.064879,0.331124,0.727675,0.432806,2
47.01086,465.533295,102,-0.048442,-0.018026,0.051812,0.628981,0.371043,2
43.009041,419.727936,94,-0.023466,-0.005565,0.021207,0.585241,0.340873,2
48.002605,451.519043,98,-0.129501,-0.001607,0.007517,0.734231,0.444648,2
40.988037,368.419434,88,-0.132085,-0.058272,0.31248,0.719883,0.426898,2
40.012447,358.815704,86,-0.102127,-0.015262,0.101642,0.698164,0.413691,2
51.015411,496.531708,106,-0.091886,-0.053912,0.172637,0.687863,0.409682,2
59.997257,631.815186,128,-0.187306,-0.000196,0.001251,0.757601,0.458315,2
39.008621,340.956604,84,-0.12263,-0.027623,0.146857,0.708412,0.417351,2
46.008797,447.441895,102,-0.057728,-0.000755,0.024943,0.660892,0.392663,2
46.990685,443.999084,100,-0.082566,-0.006544,0.019707,0.696008,0.42307,2
48.008808,462.583099,102,-0.063893,-0.00115,0.004818,0.675382,0.406148,2
44.007874,421.264374,98,-0.057306,-0.010695,0.06125,0.656482,0.390359,2
45.998219,450.06485,102,-0.044083,-0.004412,0.053675,0.648577,0.38753,2
49.006977,476.191589,102,-0.127119,-0.001565,0.009721,0.732402,0.443092,2
47.98616,459.793976,100,-0.127869,-0.003147,0.013363,0.732381,0.443783,2
48.007408,461.067993,102,-0.111352,-0.547209,2.519987,0.69181,0.412389,2
45.004894,413.67868,96,-0.088364,-0.131926,0.632666,0.671319,0.399279,2
41.995422,360.643524,84,-0.085317,-0.01275,0.038481,0.682639,0.410769,2
6.9987,25.8333,14,-0.0069,-0.0596,0.2881,0.6403,0.416,3
9.0015,41,20,-0.0339,0,0.0001,0.6753,0.4243,3
9,41,20,-0.0344,-0.0004,0.0013,0.6714,0.4196,3
9.001,41,20,-0.0343,0,0.0001,0.6749,0.4236,3
8.0008,31.5667,16,-0.0855,-0.2746,1.4682,0.7051,0.4478,3
7.9987,32.1667,16,-0.0061,-0.1648,0.7753,0.6125,0.3976,3
7.9996,32.0667,16,-0.0951,-0.0003,0.0018,0.6986,0.4361,3
7.9996,31.5667,16,-0.0814,-0.1315,0.6838,0.7154,0.4548,3
6.9991,25.8333,14,-0.0129,-0.0581,0.2818,0.6472,0.419,3
7.0004,25.8333,14,-0.0109,-0.0468,0.2245,0.644,0.4174,3
6.9988,25.6667,14,-0.1123,-0.214,1.2007,0.7379,0.4791,3
6.9987,25.8333,14,-0.0076,-0.0478,0.2257,0.6396,0.4148,3
8.0014,32.1667,16,0.006,-0.0886,0.4133,0.6,0.3937,3
8.9995,39.3333,18,0.0436,-0.0045,0.0215,0.5126,0.3364,3
7.9987,32.0667,16,-0.0919,0,0,0.7007,0.4396,3
8.0009,32.1667,16,0.0042,-0.0943,0.4397,0.6012,0.3921,3
7.0008,25.6667,14,-0.0941,-0.1188,0.5913,0.7173,0.4643,3
7.9996,32.8333,16,0.022,-0.0022,0.0137,0.5713,0.3684,3
8.0017,32,16,-0.0842,-0.0006,0.001,0.7072,0.4562,3
6.9996,26.3333,14,0.0456,-0.1443,0.7128,0.5033,0.349,3
7.0012,26.1667,14,-0.0489,-0.0635,0.2956,0.6606,0.4326,3
6.9992,25.6667,14,-0.1226,-0.3795,2.065,0.7359,0.4773,3
7,25.8333,14,-0.0076,-0.0473,0.1162,0.6296,0.4106,3
7.0008,26.3333,14,0.0375,-0.0179,0.0832,0.5335,0.3547,3
7.0004,25.6667,14,-0.1169,-0.2722,1.4317,0.7432,0.4836,3
8.0004,32.8333,16,0.0252,-0.0019,0.0095,0.5619,0.3611,3
7.9982,32.1667,16,0.001,-0.1264,0.592,0.6041,0.3944,3
6.9996,26.1667,14,-0.1186,-0.0186,0.0902,0.7132,0.457,3
7.0004,25.8333,14,-0.0091,-0.0559,0.2699,0.642,0.416,3
10.9989,55.7,24,0,-0.0042,0.0199,0.6234,0.3935,3
9.0013,37.3667,18,-0.0959,-0.2064,0.7719,0.7104,0.4518,3
8.0017,32,16,-0.08,-0.0001,0.0063,0.7059,0.4553,3
8.9986,39.0667,18,-0.0195,-0.0045,0.0207,0.6297,0.3956,3
8.0004,32.1667,16,0.0011,-0.4044,2.2745,0.5985,0.3958,3
7.9991,32.1667,16,0.0053,-0.0445,0.3173,0.5981,0.3951,3
7.9987,31.5667,16,-0.0637,-0.111,0.5317,0.6929,0.4394,3
7.9983,32.1667,16,-0.0026,-0.0969,0.4364,0.6057,0.3957,3
7.9987,32.6667,16,-0.0045,-0.0105,0.0083,0.5875,0.376,3
8.9986,38.5667,18,0.0155,-0.1106,0.5266,0.5865,0.3797,3
9.0005,39,18,0.0477,-0.0008,0.0034,0.4567,0.3245,3
9.0018,38.3,18,-0.0831,0.0087,0.0385,0.7106,0.4528,3